item_original,nome,cor,status,cores_encontradas_no_site
VESTIDO FATIMA - VANILLA,VESTIDO FATIMA,VANILLA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - PRETO,VESTIDO FATIMA,PRETO,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - BLUES,VESTIDO FATIMA,BLUES,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - JAZZ,VESTIDO FATIMA,JAZZ,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - VALSA,VESTIDO FATIMA,VALSA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - SAMBA,VESTIDO FATIMA,SAMBA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CAMISA GLORIA - MARINHO,CAMISA GLORIA,MARINHO,DISPONIVEL,MARINHO
MACACÃO DANY - VANILLA,MACACÃO DANY,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - PRETO,MACACÃO DANY,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - BLUES,MACACÃO DANY,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - BOSSA,MACACÃO DANY,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - JAZZ,MACACÃO DANY,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - VALSA,MACACÃO DANY,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - SAMBA,MACACÃO DANY,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SERENA - JAZZ,SHORT SERENA,JAZZ,DISPONIVEL,JAZZ
SHORT SAIA LIA - VANILLA,SHORT SAIA LIA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT SAIA LIA - CARAMELO,SHORT SAIA LIA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
